,base_market,quote_market,hedge_ratio,half_life
0,ETC-USD,ZEC-USD,0.554055730242164,20.0
1,ETC-USD,LINK-USD,2.792620096698527,10.0
2,ETC-USD,BCH-USD,0.15815319113215057,6.0
3,ETC-USD,CELO-USD,34.5899168727445,23.0
4,ETC-USD,RUNE-USD,15.833126118511906,17.0
5,ETC-USD,ZRX-USD,81.36480701038519,7.0
6,ETC-USD,YFI-USD,0.0027362992172513976,21.0
7,ETC-USD,COMP-USD,0.5162640516617999,16.0
8,ETC-USD,XLM-USD,206.10394296867628,7.0
9,ETC-USD,NEAR-USD,11.128915871144624,11.0
10,ZEC-USD,EOS-USD,37.417514480216944,5.0
11,LINK-USD,ATOM-USD,0.6110092780254328,9.0
12,LINK-USD,BCH-USD,0.05662873450316655,7.0
13,MKR-USD,FIL-USD,140.2752646987279,18.0
14,MKR-USD,EOS-USD,717.8626425678437,21.0
15,ATOM-USD,RUNE-USD,9.27846178185237,10.0
16,ATOM-USD,EOS-USD,12.148470508181585,15.0
17,BCH-USD,CELO-USD,218.71177152535068,18.0
18,BCH-USD,RUNE-USD,100.11128493205891,12.0
19,BCH-USD,YFI-USD,0.017301913533089085,13.0
20,BCH-USD,NEAR-USD,70.36696199414902,8.0
21,ZRX-USD,COMP-USD,0.0063444912699722475,11.0
22,ZRX-USD,NEAR-USD,0.13676246888532304,10.0
23,COMP-USD,XLM-USD,399.12998049665055,17.0
24,XLM-USD,EOS-USD,0.10058394015267733,24.0
